,工作标题,工作链接,工作地点,薪资,年限,学历,公司名,公司链接,公司行业,融资情况,人数,标签,福利
218,初级数据仓库工程师,/job_detail/19c515bd100295071Hd_29q4FFc~.html,广州·番禺区·大石,7-11K,1-3年,大专,杨氏科技,/gongsi/02b70820513f86cd1Hd93NS4.html,计算机软件,未融资,20-99人,"['数据分析', 'Oracle', 'ETL']",
219,商品数据统计（英文）,/job_detail/c72f55650b6e88da1nN-2t28E1dW.html,广州·番禺区·南村,4-8K,经验不限,大专,高庭科技,/gongsi/f0b7d69c7152ef361nN_2928E1s~.html,电子商务,,20-99人,"['数据分析', '英语', '选品', '产品开发', '跨境电商', '亚马逊']",
220,数据分析员,/job_detail/4ac441a98875ee7d1nBz2Ny1E1JS.html,广州·花都区·铁路西,6-11K,3-5年,本科,诚易科技发展有限公司,/gongsi/c3ebc4dedbedf2851nN83ti0FlQ~.html,4S店/后市场,,100-499人,"['SQL', 'Python', 'Excel', 'SPSS', 'SAS']",
221,商业数据分析师（一年2次调薪机制）,/job_detail/35328cfac509fc441XR72N26GFBS.html,广州·海珠区·赤岗,10-15K·13薪,3-5年,本科,芝麻加油,/gongsi/950cd12ed0ff013d1nF909u_Ew~~.html,O2O,A轮,100-499人,"['Python', 'Excel']",交通补助，带薪年假，员工旅游，零食下午茶，定期体检，节日福利，五险一金，补充医疗保险，年终奖，一年两次调薪，股票期权
222,初/中级数据采集分析师,/job_detail/1fac412b7b5098041nF52N64FFBQ.html,广州·天河区·珠江新城,10-15K,1-3年,本科,赢商网,/gongsi/44b64e410b64bc111HB42tu-.html,移动互联网,D轮及以上,500-999人,"['Python', 'SQL', '决策树', '聚类分析', '回归分析']",定期体检，交通补助，零食下午茶，餐补，年终奖，五险一金，带薪年假，员工旅游，节日福利，全勤奖
223,高级需求分析师（大数据）,/job_detail/ebb93de3296512b41XR5096-FVBV.html,广州·越秀区·东山口,20-40K,5-10年,本科,汛芯,/gongsi/56841b9d6bb5d6461nB72N66FQ~~.html,互联网,不需要融资,20-99人,"['Excel', 'Tableau', '经营数据分析']",通讯补贴，五险一金，交通补助，节日福利，带薪年假，定期体检
224,高级数据分析员,/job_detail/eaccc6654a49becf1nJ83N28E1tW.html,广州·越秀区·区庄,7-10K,1-3年,本科,大正市场研究,/gongsi/f7038509b2e125591nZ43dm4E1s~.html,咨询,未融资,20-99人,"['SPSS', '联合分析']",定期体检，补充医疗保险，五险一金
225,数据分析专员（MJ000948）,/job_detail/e850dd8f160ada2a1XZ42dm1FVRX.html,广州·天河区·员村,8-13K·18薪,1-3年,大专,趣丸,/gongsi/45171c7ac293db5c1nR63NS4EA~~.html,移动互联网,不需要融资,1000-9999人,"['相关分析', '直播推广数据', '用户画像', '留存']",带薪年假，天天下午茶，六险一金，包吃，股票期权，节日福利，年终奖，员工旅游
226,业务分析师,/job_detail/301c6fcda69d63e41nx43tS6ElNW.html,广州·番禺区·石楼,12-15K,3-5年,大专,中软国际,/gongsi/2d208a8834e4a58203d43Q~~.html,计算机软件,已上市,10000人以上,"['汽车行业', '数据分析', '营销体系数据分析', '业务分析', '大数据财务方向']",带薪年假，节日福利，零食下午茶，定期体检，免费班车，年终奖，员工旅游，五险一金，加班补助，餐补
227,用户研究分析师（校招）,/job_detail/f40a1e798a2e83421nJ829u0ElJX.html,广州·黄埔区·中心城,8-13K,在校/应届学历,不限,多益网络,/gongsi/0aed2b8296e46d411HB509U~.html,互联网,不需要融资,1000-9999人,"['数据分析', '用户研究', '市场研究']",年终奖，五险一金，全勤奖
228,高级商业智能分析专家,/job_detail/b8c5bd03b77ecb081nV_2d24EVdR.html,广州·天河区·天河北,25-50K,5-10年,本科,翰特尔,/gongsi/4e0bbfe7efd7dabe1nd43Ny1EFY~.html,人力资源服务,,0-20人,"['数据分析', '商业分析']",
229,预算分析经理,/job_detail/c7acb7c243dc0fd21nN73N--GVdR.html,广州·白云区·白云大道,18-28K,5-10年,本科,东呈集团,/gongsi/0575b83b3ff09c1b1nx_2d-6FlQ~.html,酒店,未融资,10000人以上,"['全面预算', '数据分析', '商业分析']",定期体检，员工旅游，节日福利，五险一金，带薪年假，年终奖，通讯补贴，餐补，全勤奖
230,生信分析工程师,/job_detail/d464e85c399c75531nJ92t--E1JR.html,广州·番禺区·新造,8-10K·14薪,经验不限,本科,基迪奥生物,/gongsi/9a29bf43d9a2d15e1XN629W0.html,医疗健康,A轮,100-499人,"['生物信息分析', '高通量测序', '科研服务', '数据分析', '数理统计', '数据挖掘']",年终奖，定期体检，五险一金，零食下午茶，节日福利，补充医疗保险，员工旅游，带薪年假，分红权激励
231,生物信息学分析工程师,/job_detail/da5c66aafc3edaae33J529u_FFQ~.html,广州·黄埔区·科学城,10-15K,经验不限,硕士,新开源晶锐,/gongsi/0e8995212f37b6410HB73tS_GQ~~.html,学术/科研,,0-20人,"['数据分析', '高通量二代测序', '生物医学分析']",
232,数据分析经理,/job_detail/4b076416941508591nx73NW8GFtV.html,广州·海珠区·客村,20-35K·13薪,5-10年,本科,青木科技,/gongsi/0ad54882c70985481n1z2dQ~.html,电子商务,不需要融资,1000-9999人,['斯凯奇'],定期体检，员工旅游，五险一金，节日福利，全勤奖，零食下午茶，餐补，年终奖，带薪年假
233,数据分析专家,/job_detail/168ab5f5972b09f11nF509y_ElVV.html,广州·海珠区·琶洲,45-75K,5-10年,本科,唯品会,/gongsi/b72f700dda59df7b33B90tU~.html,互联网,已上市,10000人以上,"['SQL', 'Python', 'Excel', 'Tableau', 'Hadoop', '决策树', '相关分析']",补充医疗保险，员工旅游，节日福利，带薪年假，股票期权，住房补贴，全勤奖，五险一金，包吃，年终奖，通讯补贴，零食下午茶，交通补助，免费班车，定期体检
234,生信分析工程师,/job_detail/a94d52d97fd980183nZ739-5E1Q~.html,广州·天河区·元岗,10-15K,经验不限,本科,犇牛科研,/gongsi/c4a2db04459423e43nB73tS8EA~~.html,学术/科研,,20-99人,"['数据分析', '数据挖掘', '数据库开发']",五险一金，补充医疗保险，全勤奖，加班补助，定期体检
235,数据分析师,/job_detail/cb0515766d95a1e11nF90tu7FltQ.html,广州·黄埔区·中心城,5-8K,1-3年,本科,禾信仪器,/gongsi/0cb59141d7dd54031XB_2di1Fw~~.html,仪器仪表/工业自动化,已上市,500-999人,"['Excel', '描述统计', '相关分析', '因子分析']",五险一金，补充医疗保险，节日福利，年终奖，股票期权，通讯补贴，餐补，零食下午茶，定期体检，员工旅游，全勤奖，免费班车，带薪年假
236,产品数据分析经理,/job_detail/ff940f08089ac49d0HZ72dq0ElA~.html,广州·天河区·东圃,15-30K·13薪,3-5年,大专,搜游科技,/gongsi/82b8038374bbb07b0HZ909q_GQ~~.html,游戏,不需要融资,20-99人,"['产品设计', '项目管理', '数据分析']",通讯补贴，住房补贴，零食下午茶，五险一金，全勤奖，包吃，员工旅游，加班补助，带薪年假，餐补，交通补助，年终奖
237,商品数据分析/商品专员,/job_detail/2f22f6305f4e63cc1n162tu0FlFS.html,广州·白云区·永泰,6-9K,1-3年,大专,派喜利来电子商务,/gongsi/88e31b4d6e3d72491nJz2dm1EA~~.html,电子商务,C轮,100-499人,"['数据产品', '数据分析', '商品分析', '商品管理']",节日福利，带薪年假，定期体检，员工旅游，餐补，年终奖，加班补助，全勤奖，零食下午茶，五险一金，补充医疗保险
238,产品经理（大数据分析方向）,/job_detail/f11c5bcb500277371nB-3N21FVJX.html,广州·天河区·燕岭,20-25K·13薪,5-10年,本科,明心数科,/gongsi/1fccf50caf7bf8841nV93NW7GFs~.html,数据服务,A轮,100-499人,"['数据分析', '数据产品', '策略产品']",交通补助，餐补，打车报销，生日礼金，五险一金，加班补助，加班餐补贴，零食下午茶，员工旅游，股票期权，节日福利，全勤奖，年终奖，带薪年假
239,数据产品经理（营销分析方向）,/job_detail/c853844dd42706381XV-39W6E1VW.html,广州·越秀区·东风东,15-25K·13薪,3-5年,本科,屈臣氏,/gongsi/e463767cacecba8a1nV60924.html,新零售,已上市,1000-9999人,"['商业产品', '产品设计', 'MindManager', 'Visio', 'B端产品', '数据分析', '用户研究']",年终奖，年底13薪，试用期全额，员工购物折扣，节日福利，专业培训，带薪年假，加班补助，补充医疗保险，店铺管理奖金，全勤奖，五险一金，定期体检
240,数据运营,/job_detail/1ec7290cb6f1339e1nBy29i-GVpQ.html,广州·番禺区·大学城,15-20K·14薪,3-5年,本科,探迹,/gongsi/8dda792e8b6182601HR72dq5.html,互联网,B轮,1000-9999人,"['产品运营', '数据分析']",定期团建，定期体检，补充医疗保险，餐补，全勤奖，年终奖，股票期权，通讯补贴，零食下午茶，员工旅游，五险一金，节日福利，带薪年假，加班补助
241,数据挖掘,/job_detail/172760d6ee954ea91nV_0ty5FVRR.html,广州·天河区·车陂,20-40K,3-5年,本科,小包公,/gongsi/b6876695a66571f01X182tq_FA~~.html,法律,A轮,20-99人,"['数据分析', 'Python', 'SQL', 'Flink', '大数据', '数据建模', '机器学习']",年终奖，带薪年假，员工旅游，股票期权，五险一金，零食下午茶，节日福利
242,数据产品经理,/job_detail/72a107b4d327b6611XR53d-_EFBQ.html,广州·海珠区·琶洲,23-45K,3-5年,本科,爆米科技,/gongsi/d87b52f083b65da303R42NW-Ew~~.html,电子商务,B轮,500-999人,"['SQL', '市场调研', '产品设计', '数据分析', 'C端产品', 'TO C', '海外产品', '大数据产品']",通讯补贴，五险一金，补充医疗保险，带薪年假，餐补，零食下午茶，股票期权，员工旅游，年终奖，节日福利
243,数据产品经理,/job_detail/b8b99cab890c91951n1y3t60EFdW.html,广州·黄埔区·科学城,15-25K·14薪,3-5年,本科,六一教育,/gongsi/9b4a9af38e5637f203Zy3dm1.html,在线教育,B轮,1000-9999人,"['海外产品', '数据分析', '用户研究', 'Axure', 'Visio']",年终奖，交通补助，通讯补贴，加班补助，零食下午茶，五险一金，节日福利，员工旅游，餐补，定期体检，带薪年假，股票期权
244,数据产品经理,/job_detail/b7d983f6714a63a71XRz2N-6FVdQ.html,广州·天河区·珠江新城,12-18K,1-3年,本科,惠龙邦,/gongsi/8207ab4d94ff0ab50XBy2d69FQ~~.html,互联网,天使轮,20-99人,"['数据分析', '金融产品', '大数据产品', '平台产品', '市场调研', '需求分析', '用户研究']",员工旅游，补充医疗保险，节日福利，带薪年假，股票期权，大小周，加班补助，五险一金
245,数据统计专员,/job_detail/86feb629ea17cd2f0Hd629W1Elc~.html,广州·天河区·车陂,3-5K,1-3年中专/,中技,君创科技,/gongsi/ee654dc8536099661nB_29m5.html,社交网络,未融资,20-99人,"['数据分析', '数据统计']",带薪年假，股票期权，定期体检，年终奖，员工旅游，五险一金，节日福利，零食下午茶
246,数据产品经理,/job_detail/49cfdf166c93d9c81XV529m1F1JX.html,广州·番禺区·大学城,18-35K·13薪,3-5年,本科,保利威,/gongsi/395b3ee0a2c9731d1HB92N69.html,互联网,已上市,100-499人,"['需求分析', '产品设计', '产品运营', '数据分析', 'TO B', '平台产品', '中台产品', '大数据产品']",员工旅游，住房补贴，年终奖，节日福利，定期体检，零食下午茶，全勤奖，培训体系，五险一金，餐补，交通补助
247,大数据架构师,/job_detail/60fa895ac2995b670Hd93tq0ElQ~.html,广州·越秀区·沿江路,25-45K·13薪,3-5年,本科,广州交信投,/gongsi/b5eb2e14fe32e4f233N_2dS4Eg~~.html,计算机软件,未融资,100-499人,"['数据挖掘', '数据分析', '架构师', '大数据', '数据仓库']",年终奖，带薪年假，定期体检，节日福利，五险一金，加班补助，餐补
248,数据产品经理（BI）,/job_detail/822c3a4ded5bcf641nx42927FFtW.html,广州·天河区·天河公园,12-24K,3-5年,本科,广州点金石信息技术,/gongsi/204c0090265ca03d33R80t-8GQ~~.html,游戏,天使轮,20-99人,"['数据产品经理', 'BI报表', '数据分析', '大数据产品']",带薪年假，年终奖，五险一金，股票期权，员工旅游，零食下午茶
249,数据产品专员,/job_detail/4528adf572988c6c1n1909i5GFtQ.html,广州·白云区·同德,4-6K·13薪,经验不限,大专,三福百货,/gongsi/8bd7c84f41efc90c1nF739-0Ew~~.html,批发/零售,不需要融资,20-99人,"['数据分析', '商品计划', '商品调配']",提供住宿，住房补贴，加班补助，全勤奖，员工旅游，带薪年假，零食下午茶，餐补，五险一金，年终奖，通讯补贴，节日福利
250,数据产品经理,/job_detail/6c347cd5817eeb6d1n1y09S4EFtR.html,广州·花都区·铁路西,15-30K,1-3年,本科,联友科技,/gongsi/64b9960a358a71450nx-09S4FQ~~.html,互联网,不需要融资,1000-9999人,"['平台产品', '数据分析']",餐补，带薪年假，员工旅游，通讯补贴，补充医疗保险，节日福利，五险一金，员工购车优惠，年终奖，交通补助，定期体检
251,数据采集专家,/job_detail/af5ede1e834fe2421XZ93N64F1ZW.html,广州·天河区·天河北,20-25K,5-10年,本科,软通动力信息技术集团,/gongsi/564018fcde2fcd9f1nZ83N61GFU~.html,计算机软件,已上市,10000人以上,"['SQL', '数据结构', '数据分析', '阿里dataphin', '数据清洗']",定期体检，免费班车，补充医疗保险，包吃，零食下午茶，加班补助，带薪年假，全勤奖，通讯补贴，员工旅游，餐补，节日福利，五险一金，年终奖，交通补助
252,大数据工程师,/job_detail/0139b3fbf142d81d3n182tq-E1Q~.html,广州·白云区·太和,15-25K,经验不限,硕士,蓝鸽集团,/gongsi/4f90faf40a0e55b91nZ-3d20Ew~~.html,计算机软件,未融资,1000-9999人,"['数据挖掘', '数据分析', 'Hadoop', 'Spark', '大数据', '云计算', '人工智能', '网络爬虫技术']",节日福利，加班补助，股票期权，零食下午茶，全勤奖，五险一金
253,大数据工程师,/job_detail/a51c13973f07617f1nN50tS5GVdR.html,广州·天河区·长兴,8-12K,1-3年,本科,国地科技,/gongsi/b4e58e54632c25b51HV52dW_Ew~~.html,政府/公共事业,已上市,1000-9999人,"['数据分析', '数据建模', 'ArcGIS', 'GIS', '地理信息系统', 'python', '自然资源', '规划设计']",全勤奖，零食下午茶，节日福利，带薪年假，员工旅游，五险一金，餐补，定期体检
